,Area,2013,2014,2015,2016,2017
1,Alabama,36674,36473,36818,37158,37508
2,Alaska,69711,67179,65971,63304,63610
3,Arizona,38352,38534,38787,38940,39583
4,Arkansas,35888,36265,36295,36502,36714
5,California,53838,55571,57637,58974,60359
6,Colorado,50523,52105,53007,52863,54026
7,Connecticut,62438,62023,62796,62745,62633
8,Delaware,60738,63555,64809,63578,63955
10,Florida,38018,38466,39334,39608,39842
11,Georgia,42513,43467,44246,45238,45925
12,Hawaii,49484,49591,51052,51964,52869
13,Idaho,34787,35173,35679,36256,36441
14,Illinois,51919,52984,53709,54308,55102
15,Indiana,43876,44818,44721,45717,46427
16,Iowa,48034,49688,51379,52248,52284
17,Kansas,45468,46235,46792,47548,47435
18,Kentucky,38259,38336,38419,38736,39277
19,Louisiana,43721,44475,44751,44440,44372
20,Maine,37508,38149,38415,39125,39521
21,Maryland,53751,54108,54661,55786,56375
22,Massachusetts,61842,62528,64660,65168,66500
23,Michigan,40992,41544,42594,43330,44201
24,Minnesota,52023,53109,53257,54295,54805
25,Mississippi,31952,31635,31714,32334,32447
26,Missouri,42498,42527,42785,42736,43036
27,Montana,38567,39319,40148,40041,39833
28,Nebraska,51597,53109,54048,54660,54654
29,Nevada,43074,43075,44057,44142,44812
30,New Hampshire,48873,49623,51020,51827,52509
31,New Jersey,55659,55563,56196,56428,56776
32,New Mexico,39659,40769,41457,41334,41619
33,New York,62320,63174,64286,64522,65220
34,North Carolina,42909,43400,44180,44194,44706
35,North Dakota,67755,70876,67618,64257,64911
36,Ohio,45262,46671,47098,47419,48188
37,Oklahoma,43317,45418,46370,44418,44535
38,Oregon,48169,48130,49715,50751,51312
39,Pennsylvania,48289,49228,50489,50978,51841
40,Rhode Island,46367,46663,47519,47662,48314
41,South Carolina,35716,36325,36952,37269,37637
42,South Dakota,47003,47039,47980,48306,48004
43,Tennessee,41513,41858,42902,43720,44348
44,Texas,52007,52879,54200,53104,53737
45,Utah,42306,43264,44392,44947,45493
46,Vermont,42989,43222,43605,44354,44831
47,Virginia,51112,50855,51486,51443,52124
48,Washington,54197,55338,56617,57796,59333
49,West Virginia,35772,36017,36233,36155,37353
50,Wisconsin,45895,46456,47268,48063,48666
51,Wyoming,60806,60853,61304,59327,61091
